order_id,order_date,customer_id,segment,category,sub_category,city,state,region,sales,quantity,discount,profit
ORD00799,2023-01-10,CUST3656,Consumer,Furniture,Chairs,Kanpur,Uttar Pradesh,Central,5809.97,1,0.12,1188.4
ORD00574,2023-01-10,CUST8751,Corporate,Office Supplies,Storage,Siliguri,West Bengal,East,502.13,1,0.1,167.38
ORD00889,2023-01-11,CUST9857,Consumer,Technology,Copiers,Panaji,Goa,West,9634.59,1,0.13,2436.33
ORD01087,2023-01-11,CUST2158,Home Office,Furniture,Bookcases,Raipur,Chhattisgarh,Central,7121.43,1,0.22,730.4
ORD00407,2023-01-12,CUST1040,Corporate,Office Supplies,Storage,Bhilai,Chhattisgarh,Central,399.52,1,0.14,120.78
ORD00550,2023-01-12,CUST1152,Home Office,Office Supplies,Art,Vadodara,Gujarat,West,573.94,1,0.03,218.93
ORD01134,2023-01-12,CUST1129,Corporate,Office Supplies,Art,Warangal,Telangana,South,521.55,1,0.07,185.06
ORD00802,2023-01-13,CUST9084,Home Office,Furniture,Furnishings,Kochi,Kerala,South,14280.9,2,0.14,2656.91
ORD00045,2023-01-14,CUST2753,Consumer,Furniture,Tables,Siliguri,West Bengal,East,5982.49,1,0.06,1527.44
ORD00877,2023-01-15,CUST6172,Corporate,Technology,Copiers,Gaya,Bihar,East,102098.81,11,0.21,18093.46
ORD00717,2023-01-15,CUST5097,Consumer,Office Supplies,Art,Bhubaneswar,Odisha,East,1240.05,3,0.11,404.06
ORD00117,2023-01-15,CUST6280,Corporate,Technology,Copiers,Bengaluru,Karnataka,South,41576.74,5,0.3,2969.76
ORD00083,2023-01-15,CUST7906,Corporate,Furniture,Furnishings,Bhilai,Chhattisgarh,Central,18262.93,2,0.13,3568.62
ORD00857,2023-01-15,CUST1190,Consumer,Office Supplies,Art,Jaipur,Rajasthan,West,1308.25,2,0.1,436.09
ORD01152,2023-01-16,CUST3328,Consumer,Office Supplies,Storage,Raipur,Chhattisgarh,Central,1760.56,3,0.11,573.67
ORD00390,2023-01-16,CUST3194,Consumer,Technology,Accessories,Kanpur,Uttar Pradesh,Central,10565.81,1,0.03,3485.63
ORD01185,2023-01-16,CUST9090,Consumer,Furniture,Bookcases,Lucknow,Uttar Pradesh,Central,16889.66,2,0.16,2814.94
ORD00272,2023-01-17,CUST8060,Consumer,Office Supplies,Art,Lucknow,Uttar Pradesh,Central,477.1,1,0.15,140.33
ORD01113,2023-01-17,CUST2915,Corporate,Office Supplies,Storage,Gaya,Bihar,East,726.27,1,0.04,272.35
ORD01065,2023-01-17,CUST4102,Corporate,Office Supplies,Paper,Chennai,Tamil Nadu,South,2975.47,5,0.06,1076.24
ORD01130,2023-01-17,CUST7706,Corporate,Technology,Copiers,Surat,Gujarat,West,22521.31,2,0.06,6948.07
ORD00295,2023-01-18,CUST8793,Home Office,Furniture,Chairs,Siliguri,West Bengal,East,7953.2,1,0.02,2272.34
ORD00972,2023-01-18,CUST9037,Corporate,Technology,Accessories,Surat,Gujarat,West,11965.8,1,0.05,3778.67
ORD00440,2023-01-19,CUST1579,Consumer,Furniture,Furnishings,Raipur,Chhattisgarh,Central,7873.14,1,0.25,524.87
ORD00971,2023-01-19,CUST8571,Home Office,Furniture,Furnishings,Raipur,Chhattisgarh,Central,27203.68,3,0.07,6727.79
ORD00314,2023-01-20,CUST4570,Home Office,Technology,Phones,Hyderabad,Telangana,South,57967.05,5,0.04,18718.53
ORD00006,2023-01-21,CUST9785,Corporate,Office Supplies,Storage,Gwalior,Madhya Pradesh,Central,1506.17,3,0.17,417.37
ORD00040,2023-01-21,CUST4346,Corporate,Technology,Phones,Cuttack,Odisha,East,12781.68,1,0.01,4389.67
ORD00254,2023-01-22,CUST2412,Home Office,Furniture,Tables,Raipur,Chhattisgarh,Central,6931.68,1,0.18,1014.39
ORD00026,2023-01-22,CUST2163,Consumer,Furniture,Tables,Kolkata,West Bengal,East,10798.28,1,0.02,3085.22
ORD00382,2023-01-23,CUST2885,Consumer,Technology,Copiers,Indore,Madhya Pradesh,Central,59680.17,5,0.1,16577.82
ORD00893,2023-01-23,CUST2148,Corporate,Office Supplies,Binders,Thiruvananthapuram,Kerala,South,427.93,1,0.16,122.27
ORD00597,2023-01-23,CUST5934,Home Office,Furniture,Chairs,Lucknow,Uttar Pradesh,Central,5999.97,1,0.07,1483.86
ORD00842,2023-01-23,CUST3087,Corporate,Office Supplies,Art,Coimbatore,Tamil Nadu,South,652.13,1,0.15,191.8
ORD00731,2023-01-25,CUST7014,Home Office,Technology,Accessories,Warangal,Telangana,South,54079.06,6,0.11,14583.12
ORD00456,2023-01-25,CUST5984,Home Office,Office Supplies,Storage,New Delhi,Delhi,East,1227.34,4,0.02,475.91
ORD01117,2023-01-25,CUST2412,Corporate,Office Supplies,Storage,Chennai,Tamil Nadu,South,2030.57,4,0.12,646.09
ORD00940,2023-01-25,CUST1669,Home Office,Furniture,Bookcases,Warangal,Telangana,South,22979.03,3,0.07,5682.98
ORD00780,2023-01-26,CUST3378,Corporate,Technology,Accessories,Jaipur,Rajasthan,West,27741.84,2,0.09,7926.24
ORD00696,2023-01-26,CUST9535,Home Office,Technology,Copiers,Bhilai,Chhattisgarh,Central,10983.43,1,0.11,2961.83
ORD00261,2023-01-27,CUST5336,Home Office,Technology,Phones,New Delhi,Delhi,East,8520.89,1,0.19,1683.13
ORD01071,2023-01-27,CUST7076,Home Office,Furniture,Tables,Warangal,Telangana,South,6806.0,1,0.14,1266.23
ORD00704,2023-01-28,CUST4721,Home Office,Technology,Copiers,Bhilai,Chhattisgarh,Central,10430.07,1,0.14,2546.88
ORD00100,2023-01-28,CUST8434,Home Office,Office Supplies,Storage,Warangal,Telangana,South,744.59,2,0.2,186.14
ORD00137,2023-01-28,CUST5342,Corporate,Furniture,Chairs,Chennai,Tamil Nadu,South,6028.7,1,0.18,882.24
ORD00720,2023-01-28,CUST1691,Home Office,Office Supplies,Art,Raipur,Chhattisgarh,Central,590.35,1,0.06,213.53
ORD01199,2023-01-29,CUST6132,Corporate,Technology,Phones,New Delhi,Delhi,East,13144.57,1,0.03,4336.35
ORD00909,2023-01-29,CUST1666,Home Office,Technology,Machines,Panaji,Goa,West,42236.07,5,0.02,14222.35
ORD01056,2023-01-29,CUST6006,Consumer,Technology,Copiers,Pune,Maharashtra,West,10348.01,1,0.1,2874.45
ORD00486,2023-01-29,CUST8179,Corporate,Office Supplies,Storage,New Delhi,Delhi,East,1705.25,3,0.05,628.25
ORD01084,2023-01-29,CUST2328,Consumer,Office Supplies,Storage,Patna,Bihar,East,1713.27,4,0.19,444.18
ORD00963,2023-02-01,CUST4197,Home Office,Office Supplies,Storage,Patna,Bihar,East,567.41,1,0.07,201.34
ORD00103,2023-02-02,CUST6912,Consumer,Office Supplies,Storage,Siliguri,West Bengal,East,1030.57,2,0.22,237.82
ORD00250,2023-02-02,CUST8406,Consumer,Technology,Copiers,Mumbai,Maharashtra,West,11943.92,1,0.11,3220.83
ORD00742,2023-02-03,CUST5075,Home Office,Technology,Copiers,Vadodara,Gujarat,West,7646.69,1,0.12,1998.57
ORD00610,2023-02-03,CUST9238,Corporate,Technology,Phones,New Delhi,Delhi,East,15017.95,1,0.03,4954.37
ORD01064,2023-02-03,CUST9096,Corporate,Furniture,Chairs,Surat,Gujarat,West,14275.37,2,0.17,2235.9
ORD00411,2023-02-04,CUST8479,Corporate,Technology,Copiers,New Delhi,Delhi,East,29110.96,3,0.07,8764.59
ORD00055,2023-02-04,CUST6000,Corporate,Furniture,Furnishings,Surat,Gujarat,West,4952.77,1,0.02,1415.08
ORD00313,2023-02-05,CUST6049,Home Office,Furniture,Furnishings,Mysuru,Karnataka,South,3914.5,1,0.23,355.86
ORD00129,2023-02-05,CUST4993,Corporate,Office Supplies,Storage,Bhilai,Chhattisgarh,Central,1249.55,2,0.07,443.39
ORD00281,2023-02-06,CUST8775,Home Office,Office Supplies,Binders,Hyderabad,Telangana,South,968.95,2,0.04,363.36
ORD00430,2023-02-06,CUST9377,Consumer,Technology,Accessories,Indore,Madhya Pradesh,Central,37646.78,3,0.05,11888.46
ORD00217,2023-02-06,CUST8355,Home Office,Office Supplies,Storage,Margao,Goa,West,559.8,1,0.24,117.85
ORD00255,2023-02-07,CUST2208,Corporate,Furniture,Tables,Thiruvananthapuram,Kerala,South,12876.28,2,0.1,2861.4
ORD00721,2023-02-08,CUST6905,Consumer,Technology,Phones,Bhilai,Chhattisgarh,Central,32470.88,3,0.14,7928.94
ORD01118,2023-02-08,CUST9063,Consumer,Technology,Copiers,Ahmedabad,Gujarat,West,9458.9,1,0.07,2847.84
ORD01178,2023-02-08,CUST5029,Corporate,Office Supplies,Storage,Noida,Uttar Pradesh,Central,988.42,2,0.27,176.02
ORD00463,2023-02-08,CUST1483,Corporate,Office Supplies,Binders,Margao,Goa,West,664.32,1,0.09,226.31
ORD00507,2023-02-08,CUST2641,Home Office,Office Supplies,Binders,Chennai,Tamil Nadu,South,516.51,1,0.02,200.28
ORD00849,2023-02-08,CUST4565,Consumer,Technology,Copiers,Raipur,Chhattisgarh,Central,12739.37,1,0.06,3930.23
ORD01198,2023-02-08,CUST8314,Home Office,Office Supplies,Paper,Bhubaneswar,Odisha,East,610.39,1,0.19,158.25
ORD00307,2023-02-08,CUST4618,Home Office,Technology,Machines,Gaya,Bihar,East,13895.64,1,0.07,4183.63
ORD00765,2023-02-09,CUST1893,Home Office,Furniture,Tables,Mumbai,Maharashtra,West,7738.63,1,0.18,1132.48
ORD00562,2023-02-10,CUST2699,Consumer,Office Supplies,Paper,Kolkata,West Bengal,East,305.25,1,0.17,84.59
ORD00081,2023-02-10,CUST8022,Consumer,Office Supplies,Paper,Bhubaneswar,Odisha,East,492.36,1,0.11,160.43
ORD00099,2023-02-10,CUST7046,Home Office,Office Supplies,Paper,Coimbatore,Tamil Nadu,South,561.86,1,0.03,214.32
ORD01063,2023-02-10,CUST9096,Home Office,Furniture,Bookcases,Cuttack,Odisha,East,8618.71,1,0.02,2462.49
ORD01061,2023-02-11,CUST3764,Corporate,Technology,Accessories,Bhubaneswar,Odisha,East,44249.22,4,0.15,10411.58
ORD01116,2023-02-11,CUST7395,Home Office,Furniture,Tables,Coimbatore,Tamil Nadu,South,5825.88,1,0.35,-448.14
ORD00835,2023-02-11,CUST1826,Corporate,Technology,Copiers,Kolkata,West Bengal,East,12406.17,1,0.06,3827.44
ORD00465,2023-02-11,CUST5026,Home Office,Office Supplies,Art,Nagpur,Maharashtra,West,1542.43,3,0.14,466.31
ORD00659,2023-02-12,CUST8133,Corporate,Furniture,Furnishings,New Delhi,Delhi,East,7982.9,1,0.03,2222.05
ORD00403,2023-02-12,CUST2560,Home Office,Furniture,Tables,Bhilai,Chhattisgarh,Central,35023.76,5,0.1,7783.05
ORD01129,2023-02-13,CUST3483,Consumer,Office Supplies,Art,Kanpur,Uttar Pradesh,Central,598.52,1,0.12,190.44
ORD00681,2023-02-15,CUST2650,Corporate,Office Supplies,Storage,New Delhi,Delhi,East,518.05,1,0.09,176.48
ORD00277,2023-02-15,CUST3245,Consumer,Furniture,Chairs,Bengaluru,Karnataka,South,9565.45,1,0.06,2442.24
ORD00881,2023-02-16,CUST9605,Consumer,Furniture,Bookcases,New Delhi,Delhi,East,7728.38,1,0.03,2151.2
ORD00370,2023-02-16,CUST9044,Corporate,Office Supplies,Storage,Margao,Goa,West,1013.15,2,0.03,386.46
ORD00539,2023-02-16,CUST3595,Home Office,Furniture,Furnishings,Bhopal,Madhya Pradesh,Central,29569.58,3,0.14,5501.31
ORD00686,2023-02-16,CUST3450,Home Office,Technology,Copiers,Chennai,Tamil Nadu,South,13293.37,1,0.04,4292.65
ORD01150,2023-02-16,CUST7055,Consumer,Technology,Machines,Bhubaneswar,Odisha,East,15602.63,2,0.03,5147.26
ORD00340,2023-02-16,CUST3756,Corporate,Office Supplies,Storage,Bhilai,Chhattisgarh,Central,598.14,1,0.04,224.3
ORD00104,2023-02-17,CUST1893,Consumer,Furniture,Tables,Siliguri,West Bengal,East,7489.17,1,0.03,2084.61
ORD00693,2023-02-17,CUST3373,Corporate,Office Supplies,Art,Cuttack,Odisha,East,3825.75,6,0.03,1459.31
ORD00270,2023-02-18,CUST9281,Corporate,Office Supplies,Storage,Bengaluru,Karnataka,South,1671.51,3,0.04,626.82
ORD00949,2023-02-18,CUST8272,Corporate,Office Supplies,Art,Margao,Goa,West,504.42,1,0.26,95.43
ORD00671,2023-02-20,CUST9462,Corporate,Office Supplies,Paper,Udaipur,Rajasthan,West,644.85,1,0.03,245.97
ORD00322,2023-02-20,CUST1550,Consumer,Technology,Phones,Ahmedabad,Gujarat,West,11727.63,1,0.1,3257.68
ORD00606,2023-02-20,CUST8523,Consumer,Furniture,Chairs,Bengaluru,Karnataka,South,8556.98,1,0.09,1974.69
ORD00908,2023-02-20,CUST3753,Corporate,Office Supplies,Binders,Patna,Bihar,East,823.17,1,0.03,313.99
ORD01000,2023-02-20,CUST7304,Consumer,Technology,Phones,Gaya,Bihar,East,10257.86,1,0.15,2413.61
ORD00655,2023-02-22,CUST8925,Home Office,Furniture,Furnishings,Coimbatore,Tamil Nadu,South,6117.41,1,0.18,895.23
ORD00334,2023-02-22,CUST4974,Corporate,Furniture,Chairs,Nagpur,Maharashtra,West,7572.16,1,0.04,2050.79
ORD01033,2023-02-22,CUST9728,Home Office,Furniture,Furnishings,Margao,Goa,West,38662.55,4,0.01,11325.39
ORD00076,2023-02-22,CUST9890,Corporate,Technology,Accessories,Cuttack,Odisha,East,20454.4,2,0.2,3835.2
ORD00178,2023-02-22,CUST7105,Home Office,Furniture,Bookcases,Bhubaneswar,Odisha,East,73327.2,9,0.09,16921.66
ORD00996,2023-02-23,CUST8777,Home Office,Office Supplies,Paper,New Delhi,Delhi,East,604.02,1,0.02,234.21
ORD00226,2023-02-23,CUST5193,Consumer,Technology,Copiers,Bengaluru,Karnataka,South,9777.11,1,0.09,2793.46
ORD00331,2023-02-23,CUST7079,Corporate,Office Supplies,Paper,Lucknow,Uttar Pradesh,Central,640.67,1,0.11,208.76
ORD00621,2023-02-23,CUST1079,Consumer,Technology,Accessories,Bhilai,Chhattisgarh,Central,21721.19,2,0.07,6539.71
ORD00987,2023-02-24,CUST2943,Home Office,Technology,Machines,Jaipur,Rajasthan,West,12938.24,1,0.08,3797.09
ORD01094,2023-02-24,CUST3540,Home Office,Furniture,Bookcases,Raipur,Chhattisgarh,Central,11302.3,2,0.13,2208.5
ORD00982,2023-02-24,CUST3243,Consumer,Office Supplies,Storage,Patna,Bihar,East,703.92,1,0.17,195.06
ORD00690,2023-02-25,CUST6903,Corporate,Technology,Phones,Warangal,Telangana,South,8937.53,1,0.11,2410.12
ORD00701,2023-02-25,CUST3071,Home Office,Office Supplies,Paper,Udaipur,Rajasthan,West,581.84,1,0.13,180.57
ORD00351,2023-02-27,CUST8790,Home Office,Technology,Phones,Kolkata,West Bengal,East,23377.61,2,0.14,5708.48
ORD00345,2023-02-27,CUST5697,Home Office,Technology,Copiers,New Delhi,Delhi,East,33193.57,3,0.17,7198.61
ORD00527,2023-02-27,CUST4937,Home Office,Office Supplies,Storage,Bhopal,Madhya Pradesh,Central,644.15,1,0.06,232.99
ORD00512,2023-02-27,CUST5923,Consumer,Office Supplies,Storage,Bengaluru,Karnataka,South,355.13,1,0.37,16.91
ORD01040,2023-02-28,CUST1326,Corporate,Office Supplies,Storage,Nagpur,Maharashtra,West,625.56,1,0.07,221.97
ORD00030,2023-02-28,CUST1887,Corporate,Furniture,Furnishings,Bhilai,Chhattisgarh,Central,9734.06,1,0.06,2485.29
ORD01115,2023-03-02,CUST9317,Consumer,Technology,Accessories,Warangal,Telangana,South,12608.49,1,0.02,4245.71
ORD00670,2023-03-02,CUST2106,Corporate,Office Supplies,Art,Bhubaneswar,Odisha,East,695.15,1,0.08,241.79
ORD00436,2023-03-03,CUST9582,Corporate,Technology,Phones,Gaya,Bihar,East,11353.55,1,0.1,3153.76
ORD00946,2023-03-04,CUST7400,Consumer,Technology,Phones,Panaji,Goa,West,7007.35,1,0.05,2212.85
ORD00955,2023-03-04,CUST2915,Consumer,Office Supplies,Paper,Ahmedabad,Gujarat,West,1639.16,3,0.1,546.39
ORD00089,2023-03-04,CUST5941,Home Office,Office Supplies,Paper,Kolkata,West Bengal,East,1686.43,3,0.1,562.14
ORD00586,2023-03-04,CUST8870,Corporate,Technology,Accessories,Lucknow,Uttar Pradesh,Central,10671.84,1,0.23,1663.14
ORD00084,2023-03-06,CUST4673,Corporate,Office Supplies,Binders,Bengaluru,Karnataka,South,1120.96,2,0.03,427.58
ORD00580,2023-03-06,CUST1795,Home Office,Office Supplies,Art,Panaji,Goa,West,1212.01,3,0.12,385.64
ORD00734,2023-03-08,CUST7714,Corporate,Office Supplies,Paper,Coimbatore,Tamil Nadu,South,463.38,1,0.09,157.85
ORD00369,2023-03-10,CUST4290,Home Office,Office Supplies,Art,Udaipur,Rajasthan,West,463.75,1,0.07,164.56
ORD00453,2023-03-10,CUST3230,Consumer,Office Supplies,Art,Bhopal,Madhya Pradesh,Central,635.24,1,0.06,229.77
ORD00888,2023-03-10,CUST4287,Corporate,Office Supplies,Storage,Panaji,Goa,West,531.81,1,0.08,184.98
ORD01096,2023-03-10,CUST8007,Home Office,Office Supplies,Paper,Jaipur,Rajasthan,West,411.28,1,0.08,143.05
ORD00653,2023-03-10,CUST5155,Home Office,Office Supplies,Storage,Siliguri,West Bengal,East,599.51,1,0.02,232.46
ORD00499,2023-03-11,CUST5400,Consumer,Furniture,Tables,Thiruvananthapuram,Kerala,South,6110.5,1,0.16,1018.42
ORD00005,2023-03-13,CUST2584,Corporate,Furniture,Chairs,Bhopal,Madhya Pradesh,Central,31672.44,4,0.12,6478.46
ORD00613,2023-03-13,CUST7113,Corporate,Furniture,Furnishings,Lucknow,Uttar Pradesh,Central,17518.75,3,0.09,4042.79
ORD01111,2023-03-14,CUST8987,Consumer,Technology,Copiers,Thiruvananthapuram,Kerala,South,9490.37,1,0.21,1681.83
ORD00684,2023-03-14,CUST8384,Corporate,Furniture,Furnishings,Bhilai,Chhattisgarh,Central,8074.52,1,0.03,2247.55
ORD00475,2023-03-15,CUST9625,Consumer,Furniture,Bookcases,Kolkata,West Bengal,East,5516.11,1,0.19,749.1
ORD00931,2023-03-16,CUST8711,Consumer,Technology,Accessories,Bhubaneswar,Odisha,East,7892.88,1,0.38,-381.91
ORD00418,2023-03-16,CUST3246,Corporate,Furniture,Bookcases,Gaya,Bihar,East,7893.39,1,0.13,1542.39
ORD01058,2023-03-16,CUST3187,Home Office,Technology,Copiers,Bhilai,Chhattisgarh,Central,13473.81,1,0.01,4627.37
ORD00772,2023-03-16,CUST2631,Home Office,Furniture,Tables,Coimbatore,Tamil Nadu,South,8853.26,1,0.04,2397.76
ORD00629,2023-03-16,CUST3935,Consumer,Technology,Accessories,Surat,Gujarat,West,56356.76,5,0.07,16967.63
ORD00363,2023-03-17,CUST7353,Corporate,Technology,Machines,Mysuru,Karnataka,South,10418.54,1,0.01,3578.08
ORD00445,2023-03-17,CUST9083,Home Office,Office Supplies,Storage,Margao,Goa,West,514.44,1,0.07,182.54
ORD00831,2023-03-19,CUST2927,Corporate,Furniture,Tables,Noida,Uttar Pradesh,Central,14544.81,2,0.12,2975.07
ORD01005,2023-03-19,CUST4281,Corporate,Technology,Accessories,Patna,Bihar,East,78257.74,5,0.07,23561.47
ORD00705,2023-03-19,CUST3551,Corporate,Furniture,Furnishings,Bhilai,Chhattisgarh,Central,5915.11,1,0.18,865.63
ORD00603,2023-03-19,CUST1718,Corporate,Technology,Machines,Gaya,Bihar,East,12230.98,1,0.04,3949.59
ORD00683,2023-03-19,CUST7945,Corporate,Office Supplies,Art,Raipur,Chhattisgarh,Central,1827.44,4,0.22,421.71
ORD00531,2023-03-21,CUST3967,Consumer,Technology,Copiers,Noida,Uttar Pradesh,Central,69896.02,7,0.06,21563.66
ORD00169,2023-03-22,CUST2862,Home Office,Furniture,Tables,Siliguri,West Bengal,East,5621.13,1,0.24,443.77
ORD00646,2023-03-22,CUST1639,Corporate,Technology,Copiers,Mumbai,Maharashtra,West,10071.88,1,0.16,2278.16
ORD00057,2023-03-22,CUST9785,Corporate,Furniture,Tables,Kanpur,Uttar Pradesh,Central,40157.54,6,0.22,4118.72
ORD01139,2023-03-22,CUST2809,Home Office,Technology,Machines,Udaipur,Rajasthan,West,16208.36,2,0.17,3515.07
ORD01022,2023-03-23,CUST1322,Consumer,Technology,Phones,Indore,Madhya Pradesh,Central,11058.99,1,0.21,1959.83
ORD00600,2023-03-24,CUST9691,Consumer,Furniture,Tables,Bhilai,Chhattisgarh,Central,5539.45,1,0.15,977.55
ORD00950,2023-03-25,CUST4806,Consumer,Technology,Phones,Bhopal,Madhya Pradesh,Central,12607.85,1,0.08,3700.13
ORD01017,2023-03-26,CUST7189,Home Office,Technology,Phones,Warangal,Telangana,South,36550.27,3,0.16,8267.32
ORD00602,2023-03-26,CUST9851,Corporate,Furniture,Tables,Mysuru,Karnataka,South,25334.57,3,0.09,5846.44
ORD00366,2023-03-27,CUST5123,Corporate,Office Supplies,Art,Raipur,Chhattisgarh,Central,1375.42,3,0.03,524.65
ORD00724,2023-03-27,CUST3583,Consumer,Technology,Copiers,Jaipur,Rajasthan,West,10551.21,1,0.15,2482.64
ORD00133,2023-03-27,CUST4912,Home Office,Technology,Copiers,Hyderabad,Telangana,South,11223.52,1,0.08,3293.86
ORD01154,2023-03-27,CUST1732,Consumer,Technology,Copiers,New Delhi,Delhi,East,9503.2,1,0.08,2788.98
ORD00986,2023-03-28,CUST8240,Consumer,Furniture,Furnishings,Bhilai,Chhattisgarh,Central,50827.49,8,0.22,5213.08
ORD01004,2023-03-29,CUST2666,Corporate,Technology,Phones,Siliguri,West Bengal,East,10509.92,1,0.05,3318.92
ORD00012,2023-03-29,CUST6168,Consumer,Technology,Accessories,Bhopal,Madhya Pradesh,Central,12406.48,1,0.09,3544.71
ORD00836,2023-03-30,CUST3932,Corporate,Furniture,Furnishings,New Delhi,Delhi,East,6346.57,1,0.11,1354.89
ORD01145,2023-03-30,CUST8309,Consumer,Furniture,Bookcases,Coimbatore,Tamil Nadu,South,11549.26,2,0.16,1924.88
ORD00558,2023-03-31,CUST2898,Corporate,Furniture,Tables,Noida,Uttar Pradesh,Central,7976.9,1,0.1,1772.64
ORD00412,2023-03-31,CUST3604,Corporate,Furniture,Furnishings,Vadodara,Gujarat,West,7609.17,1,0.08,1819.58
ORD00793,2023-03-31,CUST1893,Corporate,Office Supplies,Storage,Coimbatore,Tamil Nadu,South,831.57,2,0.28,138.59
ORD00505,2023-04-01,CUST7358,Consumer,Furniture,Chairs,Raipur,Chhattisgarh,Central,17900.0,2,0.05,4710.53
ORD00050,2023-04-02,CUST8041,Consumer,Technology,Phones,Kanpur,Uttar Pradesh,Central,9155.0,1,0.12,2392.79
ORD00320,2023-04-02,CUST6671,Corporate,Technology,Copiers,Chennai,Tamil Nadu,South,8814.08,1,0.17,1911.49
ORD00669,2023-04-03,CUST6565,Consumer,Technology,Machines,Thiruvananthapuram,Kerala,South,10432.76,1,0.13,2638.17
ORD00371,2023-04-04,CUST6980,Corporate,Technology,Accessories,Bhilai,Chhattisgarh,Central,14159.34,2,0.15,3331.61
ORD00885,2023-04-05,CUST2240,Home Office,Furniture,Chairs,Bhilai,Chhattisgarh,Central,9903.2,1,0.1,2200.71
ORD00810,2023-04-05,CUST2790,Consumer,Technology,Copiers,Vadodara,Gujarat,West,12284.63,1,0.04,3966.91
ORD00612,2023-04-05,CUST4602,Home Office,Office Supplies,Art,Bhubaneswar,Odisha,East,546.9,1,0.07,194.06
ORD00662,2023-04-05,CUST9364,Consumer,Office Supplies,Binders,Jaipur,Rajasthan,West,489.71,1,0.13,151.98
ORD01003,2023-04-06,CUST9563,Corporate,Furniture,Bookcases,Mysuru,Karnataka,South,5863.04,1,0.06,1496.95
ORD00428,2023-04-06,CUST9300,Corporate,Furniture,Tables,Mumbai,Maharashtra,West,21102.99,3,0.09,4869.92
ORD00123,2023-04-06,CUST7622,Consumer,Office Supplies,Binders,Bhilai,Chhattisgarh,Central,3102.28,6,0.04,1163.36
ORD00353,2023-04-06,CUST3661,Corporate,Furniture,Chairs,Panaji,Goa,West,8432.12,1,0.1,1873.8
ORD00865,2023-04-07,CUST8438,Corporate,Technology,Machines,Patna,Bihar,East,11022.46,1,0.07,3318.59
ORD01173,2023-04-08,CUST5739,Corporate,Furniture,Furnishings,Bengaluru,Karnataka,South,33418.35,5,0.07,8264.75
ORD00634,2023-04-08,CUST2275,Home Office,Technology,Accessories,Thiruvananthapuram,Kerala,South,10734.81,1,0.15,2525.83
